dataset_id,profile,seed,target_fraction,solver,status,counterfactual_verified,protected_workflows_preserved,achieved_exposure_reduction,modeled_cost,changes,departments_affected,runtime_seconds,infeasible_or_timeout
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.9,risk_greedy,FEASIBLE,true,true,0.8195766624219957,5.652967,9,5,0.42029926800000794,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.9,min_cut,FEASIBLE,true,true,0.9840910017680613,15.360814,25,9,3.9830764530000806,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.9,constraint_generation,FEASIBLE,true,true,0.7434272842885932,315.659263,125,10,124.12282700200001,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.95,degree_greedy,FEASIBLE,true,true,0.744256084595473,1402.6486400000001,884,11,506.229756759,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.95,risk_greedy,FEASIBLE,true,true,0.914866199116513,7.735193,12,7,0.4645942909999121,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.95,min_cut,FEASIBLE,true,true,0.9840910017680613,15.360814,25,9,3.360216077999894,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.95,constraint_generation,FEASIBLE,true,true,0.8419811082821594,371.198836,169,10,123.46739839899988,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.5,degree_greedy,FEASIBLE,true,true,0.3361159289386044,3.969386,10,6,4.195773300000013,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.5,risk_greedy,FEASIBLE,true,true,0.3432506653465379,1.313631,3,2,0.2930998230000057,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.5,min_cut,FEASIBLE,true,true,0.9820799814675195,23.277063,30,10,3.227285461000008,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.5,constraint_generation,FEASIBLE,true,true,0.5033236487736884,271.947072,94,10,124.35089888399999,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.7,degree_greedy,FEASIBLE,true,true,0.4956900960322118,17.926495,35,10,14.015118218999987,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.7,risk_greedy,FEASIBLE,true,true,0.6734019623732355,4.391166,8,4,0.9770475839999904,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.7,min_cut,FEASIBLE,true,true,0.9820799814675195,23.277063,30,10,3.81640454799998,false
